Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD-only,Llama-3.3-70B,run_12.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_13.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_14.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_15.md,0,6,1,0.0000,0.0000
ODD-only,Llama-3.3-70B,run_16.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_17.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_18.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_19.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_20.md,3,3,1,0.7500,0.5000
ODD-only,Llama-3.3-70B,run_21.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_22.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_23.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_24.md,1,5,3,0.2500,0.1667
ODD-only,Llama-3.3-70B,run_25.md,3,3,1,0.7500,0.5000
ODD-only,Llama-3.3-70B,run_26.md,2,4,2,0.5000,0.3333
ODD-only,Llama-3.3-70B,run_27.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_28.md,2,4,2,0.5000,0.3333
ODD-only,Llama-3.3-70B,run_29.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_30.md,3,3,1,0.7500,0.5000
ODD-only,Qwen2.5-7B,run_01.md,2,4,8,0.2000,0.3333
ODD-only,Qwen2.5-7B,run_02.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_03.md,3,3,6,0.3333,0.5000
ODD-only,Qwen2.5-7B,run_04.md,1,5,9,0.1000,0.1667
ODD-only,Qwen2.5-7B,run_05.md,2,4,3,0.4000,0.3333
ODD-only,Qwen2.5-7B,run_06.md,2,4,3,0.4000,0.3333
ODD-only,Qwen2.5-7B,run_07.md,0,6,5,0.0000,0.0000
ODD-only,Qwen2.5-7B,run_08.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_09.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_10.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_11.md,2,4,1,0.6667,0.3333
ODD-only,Qwen2.5-7B,run_12.md,2,4,8,0.2000,0.3333
ODD-only,Qwen2.5-7B,run_13.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_14.md,3,3,7,0.3000,0.5000
ODD-only,Qwen2.5-7B,run_15.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_16.md,2,4,3,0.4000,0.3333
ODD-only,Qwen2.5-7B,run_17.md,1,5,9,0.1000,0.1667
ODD-only,Qwen2.5-7B,run_18.md,0,6,5,0.0000,0.0000
ODD-only,Qwen2.5-7B,run_19.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_20.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_21.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_22.md,0,6,5,0.0000,0.0000
ODD-only,Qwen2.5-7B,run_23.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_24.md,2,4,8,0.2000,0.3333
ODD-only,Qwen2.5-7B,run_25.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_26.md,2,4,8,0.2000,0.3333
ODD-only,Qwen2.5-7B,run_27.md,1,5,4,0.2000,0.1667
ODD-only,Qwen2.5-7B,run_28.md,2,4,3,0.4000,0.3333
ODD-only,Qwen2.5-7B,run_29.md,2,4,7,0.2222,0.3333
ODD-only,Qwen2.5-7B,run_30.md,2,4,3,0.4000,0.3333
