Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence,Case,Condition,Source,Has_Representation_Evidence
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,5,55,Violation Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,6,68,Charger Capacity Investment,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,7,81,Resident vs. Non-resident Access Norm,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,1,1,Queue Order Compliance Dilemma,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,2,15,Move‑out Promptness,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,3,27,Staff Enforcement vs. User Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,4,39,Informal Favor Seeking,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,5,51,Resident vs. Non‑resident Priority,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,6,63,Capacity Expansion Funding,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,7,75,Fault Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,8,87,Complaint about Violation,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,1,5,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,2,14,Post‑Charging Bay Release,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,3,23,Rule Enforcement and Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,4,32,Informal Priority and Favoritism,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,5,41,Charger Capacity Expansion,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,6,59,Reservation Competition,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,7,68,Resident Priority Claim,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,8,86,Peak vs. Off‑peak Charging Coordination,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,1,5,Queue Order Compliance Game,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,2,18,Move-out Timing Game (Bay Release),,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,3,35,Rule Enforcement Game (Staff Monitoring),AS1: Queue-order and prompt move-out compliance between EV users,FP-duplicate,duplicate generated AS for AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,4,52,Informal Priority Request Game,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,5,69,Capacity Expansion Game (Investment in New Chargers),AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,6,82,Resident vs Non-resident Priority Claim Game,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,1,3,Queue Order Compliance Dilemma,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,2,17,Post-Charging Overstay Game,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,3,31,Staff Enforcement vs User Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,4,45,Informal Priority Game,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,5,59,Resident vs Non-resident Priority Norm,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,6,73,Capacity Expansion Public Goods Game,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,7,87,Charger Fault Reporting Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,1,3,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,2,21,Post‑Charging Move‑out Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,3,39,Staff Monitoring and User Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,4,57,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,5,74,Violation Reporting Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,6,91,Resident vs. Non‑resident Access Claim,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,7,108,Collective Funding for Additional Chargers,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,1,3,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,2,16,Move-Out Promptness,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,3,29,Enforcement Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,4,42,Resident vs Non-resident Priority Claim,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,5,55,Reservation Adherence,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,6,68,Violation Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,7,81,Capacity Investment,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,8,94,Staff Discretion (Informal Priority),AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,1,7,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,2,22,Post-Charging Move‑out (Overstay),AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,3,37,Staff Enforcement of Queue Rules,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,4,52,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,5,67,Capacity Expansion Contribution,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,6,82,Off‑peak Charging Coordination,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,7,97,Complaint Reporting (User‑side Enforcement),AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,8,112,Reservation vs. Walk‑in,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,9,127,Resident vs. Non‑resident Priority Claim,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,2,18,Post‑Charging Move‑out,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,3,33,Staff Enforcement vs User Compliance,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,4,48,Resident vs Non‑Resident Charger Access,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,5,63,Informal Priority and Favoritism,AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,6,78,Capacity Expansion Investment,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,7,93,Complaint Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,8,108,Off‑Peak Charging Coordination,AS2: Sequential learning in reservation and off-peak charging behaviour,TP,generated AS matches AS2: Sequential learning in reservation and off-peak charging behaviour,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,9,123,Reservation vs Live Queue Commitment,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,10,138,Charger Fault Reporting,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,2,14,Bay Release Timing,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,3,25,Rule Enforcement,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,4,36,Resident Priority Claim,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,5,47,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,6,58,Complaint and Response,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,7,69,Capacity Investment,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,8,80,Off‑peak Charging Coordination,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,1,3,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,2,17,Post-Charging Bay Release,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,3,31,Staff Enforcement vs. User Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,4,45,Queue Priority Entitlement,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
