Experiment,Model,Run,TP,FN,FP,Precision,Recall,Case,Condition,Source,Run_Number
ODD+game_stuff,DeepSeek-V4-Pro,run_26.md,3,3,5,0.375,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,26
ODD+game_stuff,DeepSeek-V4-Pro,run_27.md,3,3,5,0.375,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,27
ODD+game_stuff,DeepSeek-V4-Pro,run_28.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,28
ODD+game_stuff,DeepSeek-V4-Pro,run_29.md,3,3,4,0.4286,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,29
ODD+game_stuff,DeepSeek-V4-Pro,run_30.md,3,3,4,0.4286,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,30
ODD+game_stuff,Llama-3.3-70B,run_01.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,1
ODD+game_stuff,Llama-3.3-70B,run_02.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,2
ODD+game_stuff,Llama-3.3-70B,run_03.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,3
ODD+game_stuff,Llama-3.3-70B,run_04.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,4
ODD+game_stuff,Llama-3.3-70B,run_05.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,5
ODD+game_stuff,Llama-3.3-70B,run_06.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,6
ODD+game_stuff,Llama-3.3-70B,run_07.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,7
ODD+game_stuff,Llama-3.3-70B,run_08.md,4,2,1,0.8,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,8
ODD+game_stuff,Llama-3.3-70B,run_09.md,3,3,1,0.75,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,9
ODD+game_stuff,Llama-3.3-70B,run_10.md,1,5,3,0.25,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,10
ODD+game_stuff,Llama-3.3-70B,run_11.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,11
ODD+game_stuff,Llama-3.3-70B,run_12.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,12
ODD+game_stuff,Llama-3.3-70B,run_13.md,1,5,3,0.25,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,13
ODD+game_stuff,Llama-3.3-70B,run_14.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,14
ODD+game_stuff,Llama-3.3-70B,run_15.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,15
ODD+game_stuff,Llama-3.3-70B,run_16.md,4,2,1,0.8,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,16
ODD+game_stuff,Llama-3.3-70B,run_17.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,17
ODD+game_stuff,Llama-3.3-70B,run_18.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,18
ODD+game_stuff,Llama-3.3-70B,run_19.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,19
ODD+game_stuff,Llama-3.3-70B,run_20.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,20
ODD+game_stuff,Llama-3.3-70B,run_21.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,21
ODD+game_stuff,Llama-3.3-70B,run_22.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,22
ODD+game_stuff,Llama-3.3-70B,run_23.md,4,2,1,0.8,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,23
ODD+game_stuff,Llama-3.3-70B,run_24.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,24
ODD+game_stuff,Llama-3.3-70B,run_25.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,25
ODD+game_stuff,Llama-3.3-70B,run_26.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,26
ODD+game_stuff,Llama-3.3-70B,run_27.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,27
ODD+game_stuff,Llama-3.3-70B,run_28.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,28
ODD+game_stuff,Llama-3.3-70B,run_29.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,29
ODD+game_stuff,Llama-3.3-70B,run_30.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,30
ODD+game_stuff,Qwen2.5-7B,run_01.md,2,4,4,0.3333,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,1
ODD+game_stuff,Qwen2.5-7B,run_02.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,2
ODD+game_stuff,Qwen2.5-7B,run_03.md,2,4,8,0.2,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,3
ODD+game_stuff,Qwen2.5-7B,run_04.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,4
ODD+game_stuff,Qwen2.5-7B,run_05.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,5
ODD+game_stuff,Qwen2.5-7B,run_06.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,6
ODD+game_stuff,Qwen2.5-7B,run_07.md,1,5,4,0.2,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,7
ODD+game_stuff,Qwen2.5-7B,run_08.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,8
ODD+game_stuff,Qwen2.5-7B,run_09.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,9
ODD+game_stuff,Qwen2.5-7B,run_10.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,10
ODD+game_stuff,Qwen2.5-7B,run_11.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,11
ODD+game_stuff,Qwen2.5-7B,run_12.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,12
ODD+game_stuff,Qwen2.5-7B,run_13.md,4,2,6,0.4,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,13
ODD+game_stuff,Qwen2.5-7B,run_14.md,4,2,6,0.4,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,14
ODD+game_stuff,Qwen2.5-7B,run_15.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,15
ODD+game_stuff,Qwen2.5-7B,run_16.md,4,2,1,0.8,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,16
ODD+game_stuff,Qwen2.5-7B,run_17.md,3,3,2,0.6,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,17
ODD+game_stuff,Qwen2.5-7B,run_18.md,1,5,3,0.25,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,18
ODD+game_stuff,Qwen2.5-7B,run_19.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,19
ODD+game_stuff,Qwen2.5-7B,run_20.md,4,2,6,0.4,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,20
ODD+game_stuff,Qwen2.5-7B,run_21.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,21
ODD+game_stuff,Qwen2.5-7B,run_22.md,3,3,1,0.75,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,22
ODD+game_stuff,Qwen2.5-7B,run_23.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,23
ODD+game_stuff,Qwen2.5-7B,run_24.md,4,2,6,0.4,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,24
ODD+game_stuff,Qwen2.5-7B,run_25.md,4,2,1,0.8,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,25
ODD+game_stuff,Qwen2.5-7B,run_26.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,26
ODD+game_stuff,Qwen2.5-7B,run_27.md,2,4,8,0.2,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,27
ODD+game_stuff,Qwen2.5-7B,run_28.md,3,3,4,0.4286,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,28
ODD+game_stuff,Qwen2.5-7B,run_29.md,2,4,2,0.5,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,29
ODD+game_stuff,Qwen2.5-7B,run_30.md,3,3,7,0.3,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,30
ODD-only,DeepSeek-V4-Pro,run_01.md,4,2,4,0.5,0.6667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,1
ODD-only,DeepSeek-V4-Pro,run_02.md,2,4,6,0.25,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,2
ODD-only,DeepSeek-V4-Pro,run_03.md,3,3,7,0.3,0.5,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,3
ODD-only,DeepSeek-V4-Pro,run_04.md,1,5,6,0.1429,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,4
ODD-only,DeepSeek-V4-Pro,run_05.md,4,2,3,0.5714,0.6667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,5
ODD-only,DeepSeek-V4-Pro,run_06.md,3,3,4,0.4286,0.5,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,6
ODD-only,DeepSeek-V4-Pro,run_07.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,7
ODD-only,DeepSeek-V4-Pro,run_08.md,4,2,3,0.5714,0.6667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,8
ODD-only,DeepSeek-V4-Pro,run_09.md,2,4,8,0.2,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,9
ODD-only,DeepSeek-V4-Pro,run_10.md,2,4,8,0.2,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,10
ODD-only,DeepSeek-V4-Pro,run_11.md,0,6,6,0.0,0.0,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,11
ODD-only,DeepSeek-V4-Pro,run_12.md,2,4,4,0.3333,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,12
ODD-only,DeepSeek-V4-Pro,run_13.md,2,4,4,0.3333,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,13
ODD-only,DeepSeek-V4-Pro,run_14.md,2,4,19,0.0952,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,14
ODD-only,DeepSeek-V4-Pro,run_15.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,15
ODD-only,DeepSeek-V4-Pro,run_16.md,2,4,3,0.4,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,16
ODD-only,DeepSeek-V4-Pro,run_17.md,2,4,6,0.25,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,17
ODD-only,DeepSeek-V4-Pro,run_18.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,18
ODD-only,DeepSeek-V4-Pro,run_19.md,2,4,3,0.4,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,19
ODD-only,DeepSeek-V4-Pro,run_20.md,2,4,6,0.25,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,20
ODD-only,DeepSeek-V4-Pro,run_21.md,2,4,6,0.25,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,21
ODD-only,DeepSeek-V4-Pro,run_22.md,1,5,5,0.1667,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,22
ODD-only,DeepSeek-V4-Pro,run_23.md,2,4,5,0.2857,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,23
ODD-only,DeepSeek-V4-Pro,run_24.md,3,3,4,0.4286,0.5,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,24
ODD-only,DeepSeek-V4-Pro,run_25.md,4,2,4,0.5,0.6667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,25
ODD-only,DeepSeek-V4-Pro,run_26.md,2,4,5,0.2857,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,26
ODD-only,DeepSeek-V4-Pro,run_27.md,2,4,8,0.2,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,27
ODD-only,DeepSeek-V4-Pro,run_28.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,28
ODD-only,DeepSeek-V4-Pro,run_29.md,3,3,4,0.4286,0.5,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,29
ODD-only,DeepSeek-V4-Pro,run_30.md,4,2,2,0.6667,0.6667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,30
ODD-only,Llama-3.3-70B,run_01.md,1,5,3,0.25,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,1
ODD-only,Llama-3.3-70B,run_02.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,2
ODD-only,Llama-3.3-70B,run_03.md,2,4,2,0.5,0.3333,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,3
ODD-only,Llama-3.3-70B,run_04.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,4
ODD-only,Llama-3.3-70B,run_05.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,5
ODD-only,Llama-3.3-70B,run_06.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,6
ODD-only,Llama-3.3-70B,run_07.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,7
ODD-only,Llama-3.3-70B,run_08.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,8
ODD-only,Llama-3.3-70B,run_09.md,0,6,4,0.0,0.0,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,9
ODD-only,Llama-3.3-70B,run_10.md,3,3,1,0.75,0.5,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,10
ODD-only,Llama-3.3-70B,run_11.md,1,5,3,0.25,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,11
ODD-only,Llama-3.3-70B,run_12.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,12
ODD-only,Llama-3.3-70B,run_13.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,13
ODD-only,Llama-3.3-70B,run_14.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,14
ODD-only,Llama-3.3-70B,run_15.md,0,6,1,0.0,0.0,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,15
ODD-only,Llama-3.3-70B,run_16.md,1,5,0,1.0,0.1667,EV-parking,ODD-only,ODD_EV-parking/Batch_30Runs_ODDOnly/EVParking_evaluation_summary_ODD-only.csv,16
